# Version 1.00
#
freq[Hz];re:Trc2_S21;im:Trc2_S21;
1.000000000000000E+09;3.412522855862677E-03;-1.314866041000098E-03;
1.070000000000000E+09;1.910471256171972E-03;1.093172614990496E-04;
1.140000000000000E+09;-3.994295469007702E-04;6.170188579065742E-04;
1.210000000000000E+09;-4.328984902387383E-04;-5.613565119605410E-04;
1.280000000000000E+09;-1.615470309059553E-04;-1.545999595906801E-04;
1.350000000000000E+09;-1.819620375298372E-04;8.581987465660257E-05;
1.420000000000000E+09;2.415064759083533E-06;-2.569743242138119E-05;
1.490000000000000E+09;1.140677943535154E-04;-2.061313279355162E-04;
1.560000000000000E+09;-1.635588735360873E-04;-6.160885147731368E-05;
1.630000000000000E+09;1.565951551307592E-04;-2.130290688917574E-04;
1.700000000000000E+09;5.396079754338509E-05;3.868636244518591E-05;
1.770000000000000E+09;-5.113391459924049E-05;6.307729899564868E-05;
1.840000000000000E+09;-5.790339559625966E-04;1.554213031886300E-03;
1.910000000000000E+09;-3.811349532180917E-04;-4.687906507621525E-04;
1.980000000000000E+09;-7.422128631705133E-04;4.932005380165727E-04;
2.050000000000000E+09;-2.704414374242330E-02;-1.785899630770784E-02;
2.120000000000000E+09;-2.209054869820914E-02;3.470867603812175E-03;
2.190000000000000E+09;4.444981086211232E-03;-6.763721200020869E-03;
2.260000000000000E+09;6.676180978208482E-03;-2.377844336976761E-03;
2.330000000000000E+09;2.016369777114838E-03;4.740711040867930E-03;
2.400000000000000E+09;-1.136934933641165E-02;-3.823220894353673E-04;
2.470000000000000E+09;6.769421693992762E-03;3.631621561032151E-03;
2.540000000000000E+09;1.650364773092557E-02;4.922350006605090E-03;
2.610000000000000E+09;-3.208215407362965E-04;2.319506721619288E-04;
2.680000000000000E+09;5.553433071271215E-03;-1.383079947576963E-03;
2.750000000000000E+09;1.749840843752155E-03;-3.779090264973230E-04;
2.820000000000000E+09;-1.889495705266727E-04;2.707510372765705E-04;
2.890000000000000E+09;-6.417724966994941E-05;-3.420057344349318E-05;
2.960000000000000E+09;3.930260250715591E-05;-1.223292748453298E-03;
3.030000000000000E+09;-1.340389957901322E-04;-1.181190409927281E-04;
3.100000000000000E+09;4.264367704554886E-04;-4.045350812682104E-05;
3.170000000000000E+09;7.411588504089879E-03;3.677997994976229E-03;
3.240000000000000E+09;-8.601115306173045E-04;-6.885218659878616E-04;
3.310000000000000E+09;2.175407294213557E-03;1.066325124698731E-03;
3.380000000000000E+09;-9.984914281390275E-03;-4.581735017955760E-02;
3.450000000000000E+09;6.467554335746606E-03;3.695472613731478E-02;
3.520000000000000E+09;7.503721348690845E-02;5.378078600102636E-02;
3.590000000000000E+09;1.775601777791509E-03;1.551359343452807E-02;
3.660000000000000E+09;-7.965287104012250E-03;-1.356815777022155E-03;
3.730000000000000E+09;-9.273626161303146E-03;-8.215293275364580E-03;
3.800000000000000E+09;2.853127725766914E-03;1.620859384847874E-02;
3.870000000000000E+09;4.658108326274077E-03;-2.022337273261006E-02;
3.940000000000000E+09;1.613646438005210E-02;1.513355789105418E-02;
4.010000000000000E+09;2.204609535239695E-02;-1.671449686521487E-03;
4.080000000000000E+09;-4.829069151118985E-03;-1.111306739747972E-02;
4.150000000000000E+09;2.502647371575975E-03;-1.884984106416039E-04;
4.220000000000000E+09;-1.243369871834470E-03;1.986412063036543E-03;
4.290000000000000E+09;-2.432154805367708E-03;-3.845038394558014E-03;
4.360000000000000E+09;-4.635326507426070E-03;5.508206067972224E-04;
4.430000000000000E+09;-5.072128581487761E-03;4.951334244282476E-03;
4.500000000000000E+09;3.097813978182148E-03;-2.646237286910850E-03;
4.570000000000000E+09;6.329846469750427E-04;-1.576672560140042E-03;
4.640000000000000E+09;4.739366273508889E-03;3.623517889665495E-03;
4.710000000000000E+09;-2.905450754661177E-02;-2.046827156634999E-03;
4.780000000000000E+09;-6.324306005729291E-03;1.196991599650066E-02;
4.850000000000000E+09;-2.550747987637852E-02;-5.710027931136966E-02;
4.920000000000000E+09;9.253193939769632E-03;1.588810718172116E-02;
4.990000000000000E+09;1.618514754729748E-02;1.851479901074111E-02;
5.060000000000000E+09;5.048348696161977E-03;-4.418044304808777E-03;
5.130000000000000E+09;-1.983051016003043E-03;-1.693068019538339E-03;
5.200000000000000E+09;-1.493634739252980E-02;3.943846497703359E-03;
5.270000000000000E+09;-1.075996887437071E-02;-4.818390058752687E-04;
5.340000000000000E+09;-4.759522037693993E-03;-2.793148295644487E-02;
5.410000000000000E+09;-1.364022462916961E-03;2.933189928082123E-03;
5.480000000000000E+09;-1.043549368512705E-03;1.390003607281009E-02;
5.550000000000000E+09;-7.998116132507447E-03;9.101198372907222E-03;
5.620000000000000E+09;-1.631453618411429E-03;3.349527769502554E-03;
5.690000000000000E+09;1.561892666658239E-03;-6.034412392429848E-03;
5.760000000000000E+09;-4.473379753216601E-03;-1.102491290058900E-02;
5.830000000000000E+09;1.594603680444438E-02;2.599757759435683E-02;
5.900000000000000E+09;-6.399487271298416E-03;-9.820661286225288E-04;
5.970000000000000E+09;-1.001146274939421E-02;-4.110010902997762E-03;
6.040000000000000E+09;-8.245156086672756E-03;-7.662669629103185E-03;
6.110000000000000E+09;3.446090571481434E-03;-8.037767879194304E-03;
6.180000000000000E+09;1.428154467211278E-02;8.486815434971613E-03;
6.250000000000000E+09;-7.326071653399610E-03;2.734235736201110E-02;
6.320000000000000E+09;1.410959973479942E-02;-1.572589716221704E-02;
