# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+09;-1.333942470284905E-01;-8.703042703896661E-01;
1.001400000000000E+09;-1.418087509670927E-01;-8.683238215295881E-01;
1.002800000000000E+09;-1.498531983132832E-01;-8.661901037506692E-01;
1.004200000000000E+09;-1.575786129640933E-01;-8.638393964103178E-01;
1.005600000000000E+09;-1.657027662012110E-01;-8.613187323992643E-01;
1.007000000000000E+09;-1.744152847855023E-01;-8.587214387138866E-01;
1.008400000000000E+09;-1.835212193112046E-01;-8.561017781660321E-01;
1.009800000000000E+09;-1.926572018793130E-01;-8.523822621035420E-01;
1.011200000000000E+09;-2.014048587581270E-01;-8.479790802914320E-01;
1.012600000000000E+09;-2.098985567400261E-01;-8.433905009378917E-01;
1.014000000000000E+09;-2.182589866542795E-01;-8.382390060447598E-01;
1.015400000000000E+09;-2.263467325050253E-01;-8.333385304598645E-01;
1.016800000000000E+09;-2.340169988768396E-01;-8.280007824101869E-01;
1.018200000000000E+09;-2.411579819915756E-01;-8.218928287724506E-01;
1.019600000000000E+09;-2.469617217526014E-01;-8.164644385650947E-01;
1.021000000000000E+09;-2.529197017627046E-01;-8.128363700901045E-01;
1.022400000000000E+09;-2.602532312464756E-01;-8.085064587888986E-01;
1.023800000000000E+09;-2.683630862107921E-01;-8.039674749444702E-01;
1.025200000000000E+09;-2.759067997008673E-01;-7.982952947530227E-01;
1.026600000000000E+09;-2.835621748286294E-01;-7.929701473233292E-01;
1.028000000000000E+09;-2.905585804917796E-01;-7.873183041122278E-01;
1.029400000000000E+09;-2.976223838381545E-01;-7.812126106214466E-01;
1.030800000000000E+09;-3.045453592895347E-01;-7.750929171516948E-01;
1.032200000000000E+09;-3.117328093153395E-01;-7.689391439026418E-01;
1.033600000000000E+09;-3.184483248473260E-01;-7.624522589210216E-01;
1.035000000000000E+09;-3.253865710604104E-01;-7.558302935085031E-01;
1.036400000000000E+09;-3.319669788089943E-01;-7.490105153608629E-01;
1.037800000000000E+09;-3.384121058491729E-01;-7.419139459494657E-01;
1.039200000000000E+09;-3.445104884110143E-01;-7.344824243197987E-01;
1.040600000000000E+09;-3.504499171028502E-01;-7.266946273820443E-01;
1.042000000000000E+09;-3.556124083639342E-01;-7.192850715891616E-01;
1.043400000000000E+09;-3.608139273301037E-01;-7.120923738176708E-01;
1.044800000000000E+09;-3.656061902507364E-01;-7.046276296193787E-01;
1.046200000000000E+09;-3.699825933765977E-01;-6.975832745564553E-01;
1.047600000000000E+09;-3.748383765031009E-01;-6.902286216140486E-01;
1.049000000000000E+09;-3.790557884300482E-01;-6.837454199211523E-01;
1.050400000000000E+09;-3.837883685153656E-01;-6.772735579883248E-01;
1.051800000000000E+09;-3.887255663979664E-01;-6.710554435161542E-01;
1.053200000000000E+09;-3.942357850147430E-01;-6.647641684373893E-01;
1.054600000000000E+09;-3.996674405890274E-01;-6.582659625811199E-01;
1.056000000000000E+09;-4.056785211976657E-01;-6.508003176051846E-01;
1.057400000000000E+09;-4.114755703004491E-01;-6.426066426352344E-01;
1.058800000000000E+09;-4.168621174704785E-01;-6.340538395309931E-01;
1.060200000000000E+09;-4.212385288745518E-01;-6.254645303435261E-01;
