# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+09;-8.365837550964673E-02;-9.080490123285592E-01;
1.001400000000000E+09;-1.117590422593674E-01;-9.267040273274912E-01;
1.002800000000000E+09;-1.427497485350112E-01;-9.331507954717335E-01;
1.004200000000000E+09;-1.717435446281999E-01;-9.311929028863875E-01;
1.005600000000000E+09;-1.986021012577530E-01;-9.234785588720673E-01;
1.007000000000000E+09;-2.239108065249983E-01;-9.098254978523072E-01;
1.008400000000000E+09;-2.415708446576618E-01;-8.887821075346622E-01;
1.009800000000000E+09;-2.439091840394992E-01;-8.707035385455097E-01;
1.011200000000000E+09;-2.450470826566710E-01;-8.669105385219759E-01;
1.012600000000000E+09;-2.539364533465554E-01;-8.667133002736381E-01;
1.014000000000000E+09;-2.663309169204166E-01;-8.665119625526944E-01;
1.015400000000000E+09;-2.831455294789727E-01;-8.672687341947880E-01;
1.016800000000000E+09;-3.073686035201942E-01;-8.651525075502233E-01;
1.018200000000000E+09;-3.364203999015945E-01;-8.551324764966028E-01;
1.019600000000000E+09;-3.659244186721473E-01;-8.354845851975427E-01;
1.021000000000000E+09;-3.938577779398363E-01;-8.056395268377785E-01;
1.022400000000000E+09;-4.158563184593795E-01;-7.618071166321497E-01;
1.023800000000000E+09;-4.205237304849505E-01;-7.028600624080111E-01;
1.025200000000000E+09;-3.860293789994765E-01;-6.432521883258818E-01;
1.026600000000000E+09;-3.246148444210269E-01;-6.341985495107076E-01;
1.028000000000000E+09;-3.131041732867069E-01;-6.595660830504299E-01;
1.029400000000000E+09;-3.177733272928093E-01;-6.353744955703498E-01;
1.030800000000000E+09;-2.626258029020354E-01;-6.282963917538100E-01;
1.032200000000000E+09;-2.554752494520560E-01;-6.853259365371530E-01;
1.033600000000000E+09;-3.044425977929597E-01;-6.967238746035914E-01;
1.035000000000000E+09;-3.375849291179915E-01;-6.583050602616050E-01;
1.036400000000000E+09;-3.424606964528549E-01;-6.011858297210259E-01;
1.037800000000000E+09;-3.043978252231670E-01;-5.192507634095674E-01;
1.039200000000000E+09;-1.679077563062284E-01;-4.730190937734738E-01;
1.040600000000000E+09;-3.282631935096876E-02;-5.759267786629343E-01;
1.042000000000000E+09;-2.716188040435820E-02;-7.166666269090139E-01;
1.043400000000000E+09;-7.765660834877534E-02;-8.006694814072417E-01;
1.044800000000000E+09;-1.348375565816734E-01;-8.482279501760704E-01;
1.046200000000000E+09;-1.924160014462580E-01;-8.710211381684462E-01;
1.047600000000000E+09;-2.440124114307868E-01;-8.733199949977491E-01;
1.049000000000000E+09;-2.776476873911672E-01;-8.599523902403585E-01;
1.050400000000000E+09;-2.884775606044104E-01;-8.600043031272686E-01;
1.051800000000000E+09;-3.165369187087826E-01;-8.747859561669545E-01;
1.053200000000000E+09;-3.524170124094469E-01;-8.766281885293190E-01;
1.054600000000000E+09;-3.854209041920578E-01;-8.706757077733797E-01;
1.056000000000000E+09;-4.152498227545598E-01;-8.608715694046351E-01;
1.057400000000000E+09;-4.430881811286271E-01;-8.487279034045668E-01;
1.058800000000000E+09;-4.692706841181938E-01;-8.344517126597213E-01;
1.060200000000000E+09;-4.944541416173702E-01;-8.178083867724214E-01;
1.061600000000000E+09;-5.186746112878918E-01;-7.970578952028247E-01;
1.063000000000000E+09;-5.405510241156539E-01;-7.690740857701087E-01;
1.064400000000000E+09;-5.525650880905287E-01;-7.302027566916856E-01;
1.065800000000000E+09;-5.329203905071066E-01;-6.962214921871384E-01;
1.067200000000000E+09;-5.211480550934356E-01;-7.071294192097551E-01;
1.068600000000000E+09;-5.445580942307062E-01;-6.999524387672934E-01;
1.070000000000000E+09;-5.527787791257902E-01;-6.664800435383662E-01;
1.071400000000000E+09;-5.260436690661650E-01;-6.421020218040820E-01;
1.072800000000000E+09;-5.011865712931701E-01;-6.615238948274154E-01;
1.074200000000000E+09;-5.149580704134517E-01;-6.863482823434844E-01;
1.075600000000000E+09;-5.435380394347288E-01;-6.902199774875508E-01;
1.077000000000000E+09;-5.709689937823437E-01;-6.714303684184281E-01;
1.078400000000000E+09;-5.705032278638678E-01;-6.347842640195891E-01;
