# Version 1.00
#
freq[Hz];re:Trc2_S21;im:Trc2_S21;
1.000000000000000E+09;3.195077248986398E-07;1.165641036765642E-05;
1.070000000000000E+09;1.659705263519871E-05;-2.239128384857234E-05;
1.140000000000000E+09;7.634604015136524E-05;-1.897201675381684E-05;
1.210000000000000E+09;-3.155677409528230E-05;-1.275924332329355E-04;
1.280000000000000E+09;-4.443750195984706E-04;3.515797599900394E-05;
1.350000000000000E+09;2.263787790894215E-04;-2.337348635736070E-04;
1.420000000000000E+09;1.846762452322598E-04;1.064374361475705E-04;
1.490000000000000E+09;2.786954156343089E-05;3.269004591242417E-05;
1.560000000000000E+09;1.097951205469137E-04;1.518706276474302E-04;
1.630000000000000E+09;-1.364287258279898E-04;1.218269276215124E-03;
1.700000000000000E+09;-4.229338072787980E-04;-2.092815503057049E-04;
1.770000000000000E+09;3.287613977901233E-04;-1.549952848281697E-04;
1.840000000000000E+09;-1.291272836929313E-04;3.288708472754247E-04;
1.910000000000000E+09;-1.236677905927700E-04;-3.974057214799980E-04;
1.980000000000000E+09;3.229343823532413E-04;-9.350515253867115E-05;
2.050000000000000E+09;-1.243601495988146E-04;4.078113724266261E-04;
2.120000000000000E+09;-2.088360516451449E-04;-4.050609190010256E-04;
2.190000000000000E+09;6.409689651307080E-04;-8.621873416402622E-06;
2.260000000000000E+09;-6.446057725338902E-04;8.803572321443901E-04;
2.330000000000000E+09;-1.171827200652372E-03;-1.082925414777918E-03;
2.400000000000000E+09;7.311137550519727E-04;2.905828689353447E-04;
2.470000000000000E+09;6.961446750471021E-03;1.743820684035725E-03;
2.540000000000000E+09;-6.259412646067683E-04;5.532548532848193E-04;
2.610000000000000E+09;4.383665982314074E-04;-1.573471837501610E-04;
2.680000000000000E+09;4.026705333245828E-03;1.956414350262342E-03;
2.750000000000000E+09;-5.267059957496762E-04;7.773526303098133E-04;
2.820000000000000E+09;-2.397020187925477E-04;-5.227352621790915E-04;
2.890000000000000E+09;4.524140172434945E-04;7.728027872002836E-05;
2.960000000000000E+09;-4.284629257841049E-04;1.728861248027732E-04;
3.030000000000000E+09;-2.163119731228971E-04;-6.705145257095595E-04;
3.100000000000000E+09;1.371363221432298E-03;5.970538957834739E-04;
3.170000000000000E+09;1.350320807334542E-03;-1.100664823735061E-03;
3.240000000000000E+09;4.846426991633358E-04;-2.130774113713761E-03;
3.310000000000000E+09;-4.313407136587904E-03;-4.931319465510524E-03;
3.380000000000000E+09;2.083620258786153E-03;-7.980977288284698E-04;
3.450000000000000E+09;-8.013536307869015E-04;1.853087722132968E-03;
3.520000000000000E+09;-1.150451041556611E-03;-1.454031926036739E-03;
3.590000000000000E+09;1.812503959308840E-03;1.264695038632870E-04;
3.660000000000000E+09;-9.976052507110215E-04;1.248498442039607E-03;
3.730000000000000E+09;1.134614612410512E-02;-2.289623785160742E-02;
3.800000000000000E+09;5.937286836287105E-03;-5.131674885576293E-03;
