# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+08;9.987986146845197E-01;-6.175731222753281E-02;
1.014900000000000E+08;9.966688460681703E-01;-6.392559906398589E-02;
1.029800000000000E+08;9.975391112342591E-01;-6.237410979762285E-02;
1.044700000000000E+08;9.969068649025328E-01;-6.425732228308584E-02;
1.059600000000000E+08;9.985075096711884E-01;-6.563504902948822E-02;
1.074500000000000E+08;9.984996785849031E-01;-6.694689545478762E-02;
1.089400000000000E+08;9.988218909317292E-01;-6.668217187351440E-02;
1.104300000000000E+08;9.966168656984636E-01;-6.815441774660461E-02;
1.119200000000000E+08;9.965265348509201E-01;-6.734023580497513E-02;
1.134100000000000E+08;9.958226550131286E-01;-7.017510298904378E-02;
1.149000000000000E+08;9.973375467751450E-01;-7.155694856615757E-02;
1.163900000000000E+08;9.974561726405985E-01;-7.246167864274378E-02;
1.178800000000000E+08;9.967926777666173E-01;-7.296373876799700E-02;
1.193700000000000E+08;9.973734234407035E-01;-7.514745731747753E-02;
1.208600000000000E+08;9.968275317645957E-01;-7.511899549204086E-02;
1.223500000000000E+08;9.975045898445345E-01;-7.656321250945923E-02;
1.238400000000000E+08;9.953552472233030E-01;-7.571955719885816E-02;
1.253300000000000E+08;9.974633102286841E-01;-7.729240103712649E-02;
1.268200000000000E+08;9.963212082790626E-01;-7.725277045322640E-02;
1.283100000000000E+08;9.974278124331920E-01;-8.007842573682605E-02;
1.298000000000000E+08;9.973159149737809E-01;-8.024901315311869E-02;
1.312900000000000E+08;9.960314233131756E-01;-8.155113196502045E-02;
1.327800000000000E+08;9.963764158309969E-01;-8.207459022094177E-02;
1.342700000000000E+08;9.963315585745777E-01;-8.210325254190307E-02;
1.357600000000000E+08;9.970242866748662E-01;-8.389674650779290E-02;
1.372500000000000E+08;9.956441039045464E-01;-8.596774768539579E-02;
1.387400000000000E+08;9.954464492922778E-01;-8.553949890388672E-02;
1.402300000000000E+08;9.952315010233438E-01;-8.630165191006918E-02;
1.417200000000000E+08;9.969124986798570E-01;-8.636294993929179E-02;
1.432100000000000E+08;9.954348277200464E-01;-8.886665223588572E-02;
1.447000000000000E+08;9.955463365280394E-01;-8.825174231283055E-02;
1.461900000000000E+08;9.959451174844565E-01;-8.901813584236727E-02;
1.476800000000000E+08;9.961868188859241E-01;-9.043188850649200E-02;
1.491700000000000E+08;9.957828479144700E-01;-9.226134697268000E-02;
1.506600000000000E+08;9.959711338383257E-01;-9.267064765634331E-02;
1.521500000000000E+08;9.939034188557284E-01;-9.337674766259184E-02;
1.536400000000000E+08;9.949964685858146E-01;-9.457760756833404E-02;
1.551300000000000E+08;9.948948771517223E-01;-9.518444863092167E-02;
1.566200000000000E+08;9.938451030760875E-01;-9.654777277577549E-02;
