# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+08;9.989703983771224E-01;-6.274260009304489E-02;
1.014900000000000E+08;9.970552548966226E-01;-6.377915916026211E-02;
1.029800000000000E+08;9.972260921018183E-01;-6.290354286223693E-02;
1.044700000000000E+08;9.959045295130045E-01;-6.438505065941595E-02;
1.059600000000000E+08;9.984613729735243E-01;-6.577235792019685E-02;
1.074500000000000E+08;9.985078484241102E-01;-6.820844047100826E-02;
1.089400000000000E+08;9.982627062831340E-01;-6.712062513786013E-02;
1.104300000000000E+08;9.964817852050841E-01;-6.814490552280436E-02;
1.119200000000000E+08;9.975424991076798E-01;-6.806514306836409E-02;
1.134100000000000E+08;9.957846887150226E-01;-7.153250624260853E-02;
1.149000000000000E+08;9.965980686980224E-01;-7.220117781469947E-02;
1.163900000000000E+08;9.977268391892758E-01;-7.155263867713293E-02;
1.178800000000000E+08;9.959024092253794E-01;-7.252730941851862E-02;
1.193700000000000E+08;9.974577184065110E-01;-7.553706551385134E-02;
1.208600000000000E+08;9.961834067663569E-01;-7.584765428921202E-02;
1.223500000000000E+08;9.968404580283544E-01;-7.634428210839889E-02;
1.238400000000000E+08;9.955265706821832E-01;-7.565055248798319E-02;
1.253300000000000E+08;9.969564465002906E-01;-7.772939756566798E-02;
1.268200000000000E+08;9.968552155254452E-01;-7.717233191079689E-02;
1.283100000000000E+08;9.974829468436404E-01;-7.956001003742058E-02;
1.298000000000000E+08;9.969972401000214E-01;-8.025365380056326E-02;
1.312900000000000E+08;9.956785434234263E-01;-8.111386999000977E-02;
1.327800000000000E+08;9.961232397916721E-01;-8.204426616039330E-02;
1.342700000000000E+08;9.959821939906922E-01;-8.242836878305491E-02;
1.357600000000000E+08;9.963009153585236E-01;-8.340952308586656E-02;
1.372500000000000E+08;9.953160105279898E-01;-8.603731787583324E-02;
1.387400000000000E+08;9.963472709673598E-01;-8.578775014366632E-02;
1.402300000000000E+08;9.952434936069674E-01;-8.640363696882658E-02;
1.417200000000000E+08;9.967314224965657E-01;-8.778094009396878E-02;
1.432100000000000E+08;9.955522364697198E-01;-8.951891081096355E-02;
1.447000000000000E+08;9.957862828096011E-01;-8.846827916193779E-02;
1.461900000000000E+08;9.959987845726295E-01;-9.020889329893746E-02;
1.476800000000000E+08;9.958631393369409E-01;-9.123304231259990E-02;
1.491700000000000E+08;9.942500796424736E-01;-9.243824220270078E-02;
1.506600000000000E+08;9.959337398579184E-01;-9.313527894631779E-02;
1.521500000000000E+08;9.942443617846872E-01;-9.413943321282463E-02;
1.536400000000000E+08;9.952179378863354E-01;-9.594750340973716E-02;
1.551300000000000E+08;9.947241128430021E-01;-9.513300359871056E-02;
1.566200000000000E+08;9.939414858219725E-01;-9.681903011106480E-02;
1.581100000000000E+08;9.955605643965719E-01;-9.671389784857042E-02;
1.596000000000000E+08;9.948423414705022E-01;-9.792756219227958E-02;
1.610900000000000E+08;9.957194347402696E-01;-9.857213267413542E-02;
1.625800000000000E+08;9.937178243458274E-01;-9.975338472122637E-02;
1.640700000000000E+08;9.944089002000417E-01;-1.005705403791213E-01;
1.655600000000000E+08;9.940364776854707E-01;-1.025450631050480E-01;
1.670500000000000E+08;9.943118636522525E-01;-1.029611721301208E-01;
1.685400000000000E+08;9.938045402104083E-01;-1.037810751188600E-01;
1.700300000000000E+08;9.935860516861048E-01;-1.056979410913090E-01;
1.715200000000000E+08;9.934120685166705E-01;-1.055618892249059E-01;
1.730100000000000E+08;9.940015661654176E-01;-1.063269177323013E-01;
1.745000000000000E+08;9.948467194755266E-01;-1.078394173572689E-01;
1.759900000000000E+08;9.932575527094365E-01;-1.072731190840612E-01;
1.774800000000000E+08;9.940432259951958E-01;-1.103435403926323E-01;
1.789700000000000E+08;9.940898444148148E-01;-1.103866810387975E-01;
1.804600000000000E+08;9.930443200340966E-01;-1.118563021488259E-01;
1.819500000000000E+08;9.923127720073864E-01;-1.118221661077065E-01;
1.834400000000000E+08;9.943231955989431E-01;-1.139911996991594E-01;
1.849300000000000E+08;9.934521787870557E-01;-1.145667655301680E-01;
1.864200000000000E+08;9.929560474991379E-01;-1.149597541459472E-01;
1.879100000000000E+08;9.928798213497818E-01;-1.160266306847804E-01;
1.894000000000000E+08;9.921295598802654E-01;-1.176013587905100E-01;
1.908900000000000E+08;9.925742556612465E-01;-1.176071525109288E-01;
1.923800000000000E+08;9.927727480835089E-01;-1.195272367769577E-01;
1.938700000000000E+08;9.926302272899553E-01;-1.215192901704666E-01;
1.953600000000000E+08;9.912289043157334E-01;-1.217450604679111E-01;
1.968500000000000E+08;9.924171649093818E-01;-1.214509383819941E-01;
1.983400000000000E+08;9.936883203212403E-01;-1.212768441836307E-01;
1.998300000000000E+08;9.929398466106260E-01;-1.212421045096524E-01;
2.013200000000000E+08;9.920726428267008E-01;-1.240499811919771E-01;
2.028100000000000E+08;9.921567856789800E-01;-1.255490266523007E-01;
2.043000000000000E+08;9.906467706700645E-01;-1.262035067825643E-01;
2.057900000000000E+08;9.912376730503071E-01;-1.275661604351619E-01;
2.072800000000000E+08;9.911646276181839E-01;-1.282919891081967E-01;
2.087700000000000E+08;9.907826908254530E-01;-1.294022432121944E-01;
2.102600000000000E+08;9.916811682214706E-01;-1.295464320269657E-01;
2.117500000000000E+08;9.917028454896700E-01;-1.306727567929799E-01;
2.132400000000000E+08;9.911393169320241E-01;-1.319941729248635E-01;
2.147300000000000E+08;9.902179814955054E-01;-1.332240532819155E-01;
2.162200000000000E+08;9.906386995757880E-01;-1.340444691656383E-01;
2.177100000000000E+08;9.900706499155293E-01;-1.344097590509948E-01;
2.192000000000000E+08;9.902890838659907E-01;-1.361923090098896E-01;
2.206900000000000E+08;9.906417234791236E-01;-1.377553032877865E-01;
2.221800000000000E+08;9.902198417153000E-01;-1.379279692743987E-01;
2.236700000000000E+08;9.902003989683544E-01;-1.383714178182720E-01;
