# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+08;9.989581974374808E-01;-6.845831456364841E-02;
1.014900000000000E+08;9.976424173002777E-01;-6.910936396362245E-02;
1.029800000000000E+08;9.966200680551162E-01;-7.008180248898017E-02;
1.044700000000000E+08;9.964011667430730E-01;-7.161183681556063E-02;
1.059600000000000E+08;9.981720896750118E-01;-7.257651367517837E-02;
1.074500000000000E+08;9.989610954001017E-01;-7.400149857440999E-02;
1.089400000000000E+08;9.979528140188056E-01;-7.371877395625040E-02;
1.104300000000000E+08;9.966817535638026E-01;-7.574356639307568E-02;
1.119200000000000E+08;9.951886901025080E-01;-7.657408166907870E-02;
1.134100000000000E+08;9.962412642171974E-01;-7.797178277317426E-02;
1.149000000000000E+08;9.976481719659085E-01;-7.935833540707798E-02;
1.163900000000000E+08;9.981345803033453E-01;-7.969205795096246E-02;
1.178800000000000E+08;9.964658844449128E-01;-8.218126749073867E-02;
1.193700000000000E+08;9.969312969052317E-01;-8.277554127436157E-02;
1.208600000000000E+08;9.966682890504397E-01;-8.430143938362723E-02;
1.223500000000000E+08;9.968685412602099E-01;-8.518813856694857E-02;
1.238400000000000E+08;9.957459103623685E-01;-8.408261765258104E-02;
1.253300000000000E+08;9.964190270814508E-01;-8.622714381193973E-02;
1.268200000000000E+08;9.964337714256071E-01;-8.705365620716268E-02;
1.283100000000000E+08;9.977933371211055E-01;-8.863486556160287E-02;
1.298000000000000E+08;9.975197216770032E-01;-8.871295186761122E-02;
1.312900000000000E+08;9.950690753416999E-01;-9.117466129030384E-02;
1.327800000000000E+08;9.962552816070331E-01;-9.167907555167494E-02;
1.342700000000000E+08;9.959717133671346E-01;-9.170874716000263E-02;
1.357600000000000E+08;9.964210520716569E-01;-9.280236967337704E-02;
1.372500000000000E+08;9.948182306656325E-01;-9.471583823056919E-02;
1.387400000000000E+08;9.955268795020945E-01;-9.602673071585802E-02;
1.402300000000000E+08;9.950898800565039E-01;-9.657290428408506E-02;
1.417200000000000E+08;9.959813558748493E-01;-9.810673060324264E-02;
1.432100000000000E+08;9.953631816500432E-01;-9.996969028755640E-02;
1.447000000000000E+08;9.951647577350814E-01;-9.928016995101528E-02;
1.461900000000000E+08;9.954553322868244E-01;-1.009867708003458E-01;
1.476800000000000E+08;9.955320547418489E-01;-1.019115645239203E-01;
1.491700000000000E+08;9.949178566580825E-01;-1.035155690795471E-01;
1.506600000000000E+08;9.955553831462184E-01;-1.040548757039492E-01;
1.521500000000000E+08;9.931636163854590E-01;-1.048682218755377E-01;
1.536400000000000E+08;9.949413423523916E-01;-1.065099025674602E-01;
1.551300000000000E+08;9.934210651888945E-01;-1.056801184918782E-01;
1.566200000000000E+08;9.938411102938827E-01;-1.074905402299107E-01;
1.581100000000000E+08;9.944831725597754E-01;-1.084838714839018E-01;
1.596000000000000E+08;9.937926884183387E-01;-1.097897099379199E-01;
1.610900000000000E+08;9.952617611696561E-01;-1.105892665760767E-01;
1.625800000000000E+08;9.930016302464999E-01;-1.114705878307681E-01;
1.640700000000000E+08;9.935162653239873E-01;-1.129880778141059E-01;
1.655600000000000E+08;9.937009645980307E-01;-1.139811991105934E-01;
1.670500000000000E+08;9.934979072099034E-01;-1.155491508888607E-01;
1.685400000000000E+08;9.936752287198489E-01;-1.155651626647324E-01;
1.700300000000000E+08;9.932527913331101E-01;-1.176617502155218E-01;
1.715200000000000E+08;9.923579045832395E-01;-1.175609035912948E-01;
1.730100000000000E+08;9.920527611817556E-01;-1.188939287004943E-01;
1.745000000000000E+08;9.938628231204307E-01;-1.201719590686866E-01;
1.759900000000000E+08;9.919764855114005E-01;-1.205656049264301E-01;
1.774800000000000E+08;9.930235227216150E-01;-1.228464659067797E-01;
1.789700000000000E+08;9.934652768743830E-01;-1.223430484886673E-01;
1.804600000000000E+08;9.926245867251011E-01;-1.242193772440090E-01;
1.819500000000000E+08;9.914962927177401E-01;-1.249835282071657E-01;
1.834400000000000E+08;9.930258552601925E-01;-1.266455824612996E-01;
1.849300000000000E+08;9.925533376919192E-01;-1.273917124269014E-01;
1.864200000000000E+08;9.917183306550595E-01;-1.282808868929898E-01;
1.879100000000000E+08;9.917022001264677E-01;-1.289443431591885E-01;
1.894000000000000E+08;9.909662687537214E-01;-1.309068751420933E-01;
1.908900000000000E+08;9.910586304857598E-01;-1.310954401706503E-01;
1.923800000000000E+08;9.913061003581181E-01;-1.321038127201524E-01;
1.938700000000000E+08;9.924136900854982E-01;-1.340595496293898E-01;
1.953600000000000E+08;9.907085795847324E-01;-1.344410787550199E-01;
1.968500000000000E+08;9.916954328242676E-01;-1.353550617139977E-01;
1.983400000000000E+08;9.922268780736714E-01;-1.357227928506927E-01;
1.998300000000000E+08;9.911587157892756E-01;-1.355783527748317E-01;
2.013200000000000E+08;9.908545558870906E-01;-1.388694950094251E-01;
2.028100000000000E+08;9.913385739792395E-01;-1.392672248988095E-01;
2.043000000000000E+08;9.905461254881149E-01;-1.397164436796167E-01;
2.057900000000000E+08;9.900175368377869E-01;-1.416316402405648E-01;
2.072800000000000E+08;9.904060440241939E-01;-1.415887694332919E-01;
2.087700000000000E+08;9.905425364079609E-01;-1.430935287466478E-01;
2.102600000000000E+08;9.897180165242919E-01;-1.434382453045375E-01;
2.117500000000000E+08;9.900798632796163E-01;-1.453714468012038E-01;
2.132400000000000E+08;9.896705645988738E-01;-1.463784475127405E-01;
